Accession	Gene_name	Protein_name
Q9QUL6	Nsf;Erg1	Vesicle-fusing ATPase
Q9QUR2	Dctn4	Dynactin subunit 4
Q9QWN8	Sptbn2;Spnb3	Spectrin beta chain, non-erythrocytic 2
Q9QX74	Shank2;Cortbp1	SH3 and multiple ankyrin repeat domains protein 2
Q9QXT3	Nat8;Cml4	N-acetyltransferase 8
Q9QXY2	Srcin1;P140;Snip	SRC kinase signaling inhibitor 1
Q9QYC0	Add1	Alpha-adducin
Q9QYF3	Myo5a	Unconventional myosin-Va
Q9QYJ2	Rasa3	Ras GTPase-activating protein 3
Q9QYU4	Crym	Ketimine reductase mu-crystallin
Q9QZB0	Rgs17;Rgsz2	Regulator of G-protein signaling 17
Q9QZF2	Gpc1	Glypican-1
Q9QZX8	Slco1b2;Oatp1b2;Slc21a10	Solute carrier organic anion transporter family member 1B2
Q9R066	Cxadr;Car	Coxsackievirus and adenovirus receptor homolog
Q9R0W2	Slc22a2;Oct2	Solute carrier family 22 member 2
Q9R1N3	Slc4a7;Nbc;Nbc2;Nbc3;Nbcn1	Sodium bicarbonate cotransporter 3
Q9R1T4	Sept6;Kiaa0128	Septin-6
Q9R1Z0	Vdac3	Voltage-dependent anion-selective channel protein 3
Q9R233	Tapbp;Tapa	Tapasin
Q9WTR5	Cdh13	Cadherin-13
Q9WTR7	Sec11c;Sec11l3;Spc21	Signal peptidase complex catalytic subunit SEC11C
Q9WTT4	Atp6v1g2;Atp6g2;Ng38	V-type proton ATPase subunit G 2
Q9WTT6	Gda	Guanine deaminase
Q9WTW8	Slc23a2;Svct2	Solute carrier family 23 member 2
Q9WU34	Sep-03	Neuronal-specific septin-3
Q9WU70	Stxbp5;Llgl3	Syntaxin-binding protein 5
Q9WU82	Ctnnb1;Catnb	Catenin beta-1
Q9WUD9	Src	Proto-oncogene tyrosine-protein kinase Src
Q9WV48	Shank1	SH3 and multiple ankyrin repeat domains protein 1
Q9WV55	Vapa;Vap33	Vesicle-associated membrane protein-associated protein A
Q9WV92	Epb41l3;Dal1;Epb4.1l3;Kiaa0987	Band 4.1-like protein 3
Q9WVB1	Rab6a;Rab6	Ras-related protein Rab-6A
Q9WVC0	Sept7;Cdc10	Septin-7
Q9Z0J8	Negr1	Neuronal growth regulator 1
Q9Z0U4	Gabbr1	Gamma-aminobutyric acid type B receptor subunit 1
Q9Z0W5	Pacsin1	Protein kinase C and casein kinase substrate in neurons protein 1
Q9Z122	Fads2;Fadsd6	Fatty acid desaturase 2
Q9Z142	Tmem33;Db83	Transmembrane protein 33
Q9Z173	Lphn3;Cirl3;Cl3	Latrophilin-3
Q9Z1E1	Flot1;Reg2	Flotillin-1
Q9Z1G4	Atp6v0a1;Atp6n1	V-type proton ATPase 116 kDa subunit a isoform 1
Q9Z1L0	Pik3cb	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
Q9Z1P2	Actn1	Alpha-actinin-1
Q9Z1X1	Esyt1;Fam62a;Mbc2	Extended synaptotagmin-1
Q9Z1Y3	Cdh2	Cadherin-2
Q9Z214	Homer1;Homer;Vesl	Homer protein homolog 1
Q9Z250	Lin7a;Mals1;Veli1	Protein lin-7 homolog A
Q9Z269	Vapb	Vesicle-associated membrane protein-associated protein B
Q9Z270	Vapa;Vap33	Vesicle-associated membrane protein-associated protein A
Q9Z272	Git1	ARF GTPase-activating protein GIT1
Q9Z2L0	Vdac1	Voltage-dependent anion-selective channel protein 1
Q9Z2Q6	Sept5;Pnutl1	Septin-5
Q9Z2Q7	Stx8	Syntaxin-8
Q9Z2S9	Flot2;Reg1	Flotillin-2
Q9Z2Z8	Dhcr7	7-dehydrocholesterol reductase
