Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
NA	NA	NA	IPI00867890.1	Vomeronasal 2, receptor 2	exp089
P63101	Ywhaz	14-3-3 protein zeta/delta	IPI00116498.1	14-3-3 protein zeta/delta	exp089
Q9CQX2	Cyb5b;Cyb5m	Cytochrome b5 type B	IPI00315794.1	Cytochrome b5 type B	exp089
NA	NA	NA	IPI00761216.1	Putative uncharacterized protein	exp089
P63213	Gng2	Guanine nucleotide-binding protein G	IPI00230194.5	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	exp089
Q9CR51	Atp6v1g1;Atp6g1	V-type proton ATPase subunit G 1	IPI00133163.3	V-type proton ATPase subunit G 1	exp089
NA	NA	NA	IPI00918041.1	Heterogeneous nuclear ribonucleoprotein M	exp089
P63260	Actg1;Actg	Actin, cytoplasmic 2	IPI00874482.1	Actin, cytoplasmic 2	exp089
Q9CR57	Rpl14	60S ribosomal protein L14	IPI00133185.3	60S ribosomal protein L14	exp089
NA	NA	NA	IPI00749680.1	Wdr20a protein	exp089
P63268	Actg2;Acta3;Actsg	Actin, gamma-enteric smooth muscle	IPI00404804.1	Actin, gamma-enteric smooth muscle	exp089
Q9CWX2	Ndufaf1;Cia30	Complex I intermediate-associated protein 30, mitochondrial	IPI00226687.4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	exp089
NA	NA	NA	IPI00849548.1	Similar to Rab5B	exp089
P63276	Rps17	40S ribosomal protein S17	IPI00465880.4	40S ribosomal protein S17	exp089
Q9CXL1	Tmem50a;Smp1	Transmembrane protein 50A	IPI00110453.1	Transmembrane protein 50A	exp089
NA	NA	NA	IPI00855023.1	Similar to Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	exp089
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A	IPI00124282.1	Ras-related protein Ral-A	exp089
Q9CXP8	Gng10	Guanine nucleotide-binding protein G subunit gamma-10	IPI00110583.1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	exp089
NA	NA	NA	IPI00785299.1	Atp2b3 protein	exp089
P63325	Rps10	40S ribosomal protein S10	IPI00112448.1	40S ribosomal protein S10	exp089
Q9CXW4	Rpl11	60S ribosomal protein L11	IPI00331461.4	60S ribosomal protein L11	exp089
NA	NA	NA	IPI00623749.1	A kinase (PRKA) anchor protein (yotiao) 9	exp089
P67778	Phb	Prohibitin	IPI00133440.1	Prohibitin	exp089
Q9CY58-3	Serbp1	Isoform 3 of Plasminogen activator inhibitor 1 RNA-binding protein	IPI00471477.1	Isoform 3 of Plasminogen activator inhibitor 1 RNA-binding protein	exp089
NA	NA	NA	IPI00857885.1	Dmwd protein	exp089
P67984	Rpl22	60S ribosomal protein L22	IPI00222546.5	60S ribosomal protein L22	exp089
Q9CYI4-2	Luc7l	Isoform 2 of Putative RNA-binding protein Luc7-like 1	IPI00410805.1	Isoform 2 of Putative RNA-binding protein Luc7-like 1	exp089
NA	NA	NA	IPI00757544.1	Chromodomain helicase DNA binding protein 6	exp089
P68134	Acta1;Acta	Actin, alpha skeletal muscle	IPI00110827.1	Actin, alpha skeletal muscle	exp089
Q9CYL5	Glipr2;Gapr1	Golgi-associated plant pathogenesis-related protein 1	IPI00416279.3	Golgi-associated plant pathogenesis-related protein 1	exp089
NA	NA	NA	IPI00387312.2	Phosphofructokinase, liver, B-type	exp089
P68254-2	Ywhaq	Isoform 2 of 14-3-3 protein theta	IPI00656269.1	Isoform 2 of 14-3-3 protein theta	exp089
Q9CYN9	Atp6ap2;Atp6ip2	Renin receptor	IPI00459331.2	Renin receptor	exp089
NA	NA	NA	IPI00754798.1	Similar to ribosomal protein S26, isoform 1	exp089
P68368	Tuba4a;Tuba4	Tubulin alpha-4A chain	IPI00117350.1	Tubulin alpha-4A chain	exp089
Q9CZX7	Tmem55a	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	IPI00113239.1	Transmembrane protein 55A	exp089
NA	NA	NA	IPI00881282.1	Putative uncharacterized protein	exp089
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain	IPI00169463.1	Tubulin beta-2C chain	exp089
Q9CZX8	Rps19	40S ribosomal protein S19	IPI00113241.7	40S ribosomal protein S19	exp089
NA	NA	NA	IPI00121515.5	Cytoplasmic activation/proliferation-associated protein 1 isoform c	exp089
P68373	Tuba1c;Tuba6	Tubulin alpha-1C chain	IPI00403810.2	Tubulin alpha-1C chain	exp089
Q9D023	Mpc2;Brp44	Mitochondrial pyruvate carrier 2	IPI00131896.1	Brain protein 44	exp089
NA	NA	NA	IPI00848506.1	Hypothetical protein isoform 2	exp089
P68510	Ywhah	14-3-3 protein eta	IPI00227392.5	14-3-3 protein eta	exp089
Q9D1D4-2	Tmed10	Isoform 2 of Transmembrane emp24 domain-containing protein 10	IPI00556853.1	Isoform 2 of Transmembrane emp24 domain-containing protein 10	exp089
NA	NA	NA	IPI00129174.6	Schlafen 4	exp089
P70168	Kpnb1;Impnb	Importin subunit beta-1	IPI00323881.1	Importin subunit beta-1	exp089
Q9D1G1	Rab1b	Ras-related protein Rab-1B	IPI00133706.1	Ras-related protein Rab-1B	exp089
NA	NA	NA	IPI00876212.1	17 kDa protein	exp089
P70227	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3	IPI00137400.2	Inositol 1,4,5-trisphosphate receptor type 3	exp089
Q9D1K2	Atp6v1f;Atp6s14;Vatf	V-type proton ATPase subunit F	IPI00315999.4	V-type proton ATPase subunit F	exp089
NA	NA	NA	IPI00648869.1	Heterogeneous nuclear ribonucleoprotein R	exp089
P70245	Ebp;Msi	3-beta-hydroxysteroid-Delta	IPI00137471.3	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	exp089
Q9D1L9	Lamtor5;Hbxip;Xip	Ragulator complex protein LAMTOR5	IPI00132747.5	Hepatitis B virus x interacting protein	exp089
NA	NA	NA	IPI00465574.2	Putative uncharacterized protein	exp089
P70670	Naca;Gm1878	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	IPI00111831.1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	exp089
Q9D1M7	Fkbp11	Peptidyl-prolyl cis-trans isomerase FKBP11	IPI00133931.1	FK506-binding protein 11	exp089
NA	NA	NA	IPI00750074.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma subunit isoform b	exp089
P80313	Cct7;Ccth	T-complex protein 1 subunit eta	IPI00331174.5	T-complex protein 1 subunit eta	exp089
Q9D2G2-1	Dlst 	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	IPI00134809.2	Isoform 1 of Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	exp089
NA	NA	NA	IPI00762360.1	ATP-binding cassette, sub-family F (GCN20), member 1	exp089
P80314	Cct2;Cctb	T-complex protein 1 subunit beta	IPI00320217.9	T-complex protein 1 subunit beta	exp089
Q9D2G2-2	Dlst	Isoform 2 of Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	IPI00845858.1	Isoform 2 of Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	exp089
NA	NA	NA	IPI00885887.1	7 kDa protein	exp089
P80315	Cct4;Cctd	T-complex protein 1 subunit delta	IPI00116277.3	T-complex protein 1 subunit delta	exp089
Q9D3B1	Ptplb;hacd2	Very-long-chain	IPI00124411.2	Protein-tyrosine phosphatase-like member B	exp089
NA	NA	NA	IPI00880617.1	19 kDa protein	exp089
P80317	Cct6a;Cct6;Cctz;Cctz1	T-complex protein 1 subunit zeta	IPI00116281.3	T-complex protein 1 subunit zeta	exp089
Q9D3D9	Atp5d	ATP synthase subunit delta, mitochondrial	IPI00453777.2	ATP synthase subunit delta, mitochondrial	exp089
NA	NA	NA	IPI00648658.1	Clathrin, light polypeptide A isoform d	exp089
P80318	Cct3;Cctg	T-complex protein 1 subunit gamma	IPI00116283.1	T-complex protein 1 subunit gamma	exp089
Q9D6A1-1	Myo1h 	Unconventional myosin-Ih	IPI00944762.1	Myosin 1H	exp089
NA	NA	NA	IPI00403406.1	Erythrocyte protein band 4.1-like 2, isoform CRA_c	exp089
P84096	Rhog;Arhg;Sid10750	Rho-related GTP-binding protein RhoG	IPI00116558.1	Rho-related GTP-binding protein RhoG	exp089
Q9D6K8	Fundc2;Hcbp6	FUN14 domain-containing protein 2	IPI00466200.3	FUN14 domain-containing protein 2	exp089
NA	NA	NA	IPI00553623.1	Mannose-P-dolichol utilization defect 1	exp089
P97351	Rps3a;Rps3a1	40S ribosomal protein S3a	IPI00331345.5	40S ribosomal protein S3a	exp089
Q9D6U8	Fam162a;E2ig5	Protein FAM162A	IPI00109611.1	UPF0389 protein FAM162A	exp089
NA	NA	NA	IPI00467152.4	Guanine nucleotide binding protein, alpha inhibiting 1	exp089
P97377-2	Cdk2	Isoform CDK2-alpha of Cyclin-dependent kinase 2	IPI00225350.1	Isoform CDK2-alpha of Cell division protein kinase 2	exp089
Q9D883	U2af1	Splicing factor U2AF 35 kDa subunit	IPI00318548.3	Splicing factor U2AF 35 kDa subunit	exp089
NA	NA	NA	IPI00621975.2	Similar to Probable ATP-dependent RNA helicase DDX46	exp089
P97379-2	G3bp2	Isoform B of Ras GTPase-activating protein-binding protein 2	IPI00331295.4	Isoform B of Ras GTPase-activating protein-binding protein 2	exp089
Q9D8B3	Chmp4b	Charged multivesicular body protein 4b	IPI00171974.1	Charged multivesicular body protein 4b	exp089
NA	NA	NA	IPI00652247.1	Putative uncharacterized protein	exp089
P97449	Anpep;Lap-1;Lap1	Aminopeptidase N	IPI00319509.5	Aminopeptidase N	exp089
Q9D8E6	Rpl4	60S ribosomal protein L4	IPI00111412.3	60S ribosomal protein L4	exp089
NA	NA	NA	IPI00754992.1	Ribophorin II	exp089
P97855	G3bp1;G3bp	Ras GTPase-activating protein-binding protein 1	IPI00130095.1	Ras GTPase-activating protein-binding protein 1	exp089
Q9DAS9	Gng12	Guanine nucleotide-binding protein G subunit gamma-12	IPI00227838.4	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	exp089
NA	NA	NA	IPI00720163.1	RNA binding motif, single stranded interacting protein 2 isoform b	exp089
P99024	Tubb5	Tubulin beta-5 chain	IPI00117352.1	Tubulin beta-5 chain	exp089
Q9DB00	Gon4l;Gon4;Kiaa1606	GON-4-like protein	IPI00854904.2	GON-4-like protein	exp089
NA	NA	NA	IPI00894742.1	55 kDa protein	exp089
P99027	Rplp2	60S acidic ribosomal protein P2	IPI00139795.2	60S acidic ribosomal protein P2	exp089
Q9DB20	Atp5o;D12Wsu28e	ATP synthase subunit O, mitochondrial	IPI00118986.1	ATP synthase subunit O, mitochondrial	exp089
NA	NA	NA	IPI00881332.1	Cytoplasmic activation/proliferation-associated protein 1 isoform b	exp089
Q01721	Gas1;Gas-1	Growth arrest-specific protein 1	IPI00750988.1	Growth arrest specific 1	exp089
Q9DB77	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial	IPI00119138.1	Cytochrome b-c1 complex subunit 2, mitochondrial	exp089
NA	NA	NA	IPI00776140.1	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a	exp089
Q01768	Nme2	Nucleoside diphosphate kinase B	IPI00127417.1	Nucleoside diphosphate kinase B	exp089
Q9DBG3-1	Ap2b1 	AP-2 complex subunit beta	IPI00119689.1	Isoform 1 of AP-2 complex subunit beta	exp089
NA	NA	NA	IPI00849457.1	Similar to Translocase of outer mitochondrial membrane 20 homolog	exp089
Q02248	Ctnnb1;Catnb	Catenin beta-1	IPI00125899.1	Catenin beta-1	exp089
Q9DBJ1	Pgam1	Phosphoglycerate mutase 1	IPI00457898.3	Phosphoglycerate mutase 1	exp089
NA	NA	NA	IPI00761773.2	Hypothetical protein LOC399603	exp089
Q02257	Jup	Junction plakoglobin	IPI00229475.1	Junction plakoglobin	exp089
Q9DBR7-2	Ppp1r12a	Isoform 2 of Protein phosphatase 1 regulatory subunit 12A	IPI00876048.1	Isoform 2 of Protein phosphatase 1 regulatory subunit 12A	exp089
NA	NA	NA	IPI00755154.7	Leiomodin 3	exp089
Q02357-5	Ank1	Isoform 5 of Ankyrin-1	IPI00755395.1	Isoform 5 of Ankyrin-1	exp089
Q9DBS1	Tmem43	Transmembrane protein 43	IPI00120083.1	Transmembrane protein 43	exp089
NA	NA	NA	IPI00625848.2	Plcb4	exp089
Q03145	Epha2;Eck;Myk2;Sek2	Ephrin type-A receptor 2	IPI00129220.1	Ephrin type-A receptor 2	exp089
Q9DC37	Mfsd1	Major facilitator superfamily domain-containing protein 1	IPI00459382.3	Major facilitator superfamily domain-containing protein 1	exp089
NA	NA	NA	IPI00648089.1	Immunity-related GTPase family M member 1	exp089
Q03265	Atp5a1	ATP synthase subunit alpha, mitochondrial	IPI00130280.1	ATP synthase subunit alpha, mitochondrial	exp089
Q9DC51	Gnai3	Guanine nucleotide-binding protein G	IPI00338854.3	Guanine nucleotide-binding protein G(k) subunit alpha	exp089
NA	NA	NA	IPI00849080.1	Similar to PTB-associated splicing factor	exp089
Q04736	Yes1;Yes	Tyrosine-protein kinase Yes	IPI00109672.3	Proto-oncogene tyrosine-protein kinase Yes	exp089
Q9DCF9-2	Ssr3	Isoform 2 of Translocon-associated protein subunit gamma	IPI00458428.1	Isoform 2 of Translocon-associated protein subunit gamma	exp089
NA	NA	NA	IPI00672807.2	Similar to ribosomal protein L23a	exp089
Q05D44	Eif5b;If2	Eukaryotic translation initiation factor 5B	IPI00756424.3	Eukaryotic translation initiation factor 5B	exp089
Q9DCN2-2	Cyb5r3	Isoform 2 of NADH-cytochrome b5 reductase 3	IPI00759904.1	Isoform 2 of NADH-cytochrome b5 reductase 3	exp089
NA	NA	NA	IPI00464348.1	Putative uncharacterized protein (Fragment)	exp089
Q07813	Bax	Apoptosis regulator BAX	IPI00120684.2	Apoptosis regulator BAX	exp089
Q9DCS1	Tmem176a;Gs188;Keg2	Transmembrane protein 176A	IPI00331154.4	Transmembrane protein 176A	exp089
NA	NA	NA	IPI00875965.1	26 kDa protein	exp089
Q08091-2	Cnn1	Isoform Beta of Calponin-1	IPI00228258.1	Isoform Beta of Calponin-1	exp089
Q9EP71	Rai14;Kiaa1334;Norpeg	Ankycorbin	IPI00453820.2	Ankycorbin	exp089
NA	NA	NA	IPI00830254.1	Protein	exp089
Q08501-1	Prlr 	Prolactin receptor	IPI00321091.1	Isoform PRL-R3 of Prolactin receptor	exp089
Q9EPK2-3	Rp2	Isoform 3 of Protein XRP2	IPI00757510.2	Isoform 3 of Protein XRP2	exp089
NA	NA	NA	IPI00663555.1	Similar to ribosomal protein	exp089
Q3TC33-1	Ccdc127 	Coiled-coil domain-containing protein 127	IPI00131843.3	Isoform 1 of Coiled-coil domain-containing protein 127	exp089
Q9EPK2-4	Rp2	Isoform 4 of Protein XRP2	IPI00756953.2	Isoform 4 of Protein XRP2	exp089
NA	NA	NA	IPI00876161.1	Likely ortholog of H. sapiens chromosome 9 open reading frame 5	exp089
Q3TIV5-1	Zc3h15 	Zinc finger CCCH domain-containing protein 15	IPI00336958.3	Isoform 1 of Zinc finger CCCH domain-containing protein 15	exp089
Q9EPU0-2	Upf1	Isoform 2 of Regulator of nonsense transcripts 1	IPI00850525.1	Isoform 2 of Regulator of nonsense transcripts 1	exp089
NA	NA	NA	IPI00857422.1	RNA binding motif protein 39	exp089
Q3TIV5-2	Zc3h15	Isoform 2 of Zinc finger CCCH domain-containing protein 15	IPI00889318.1	Isoform 2 of Zinc finger CCCH domain-containing protein 15	exp089
Q9EQJ0-1	Tpcn1 	Two pore calcium channel protein 1	IPI00111228.2	Isoform 1 of Two pore calcium channel protein 1	exp089
NA	NA	NA	IPI00752849.2	67 kDa protein	exp089
Q3TLH4-3	Aak1	Protein PRRC2C	IPI00831515.3	Isoform 3 of BAT2 domain-containing protein 1	exp089
Q9EQS3	Mycbp;Amy1	C-Myc-binding protein	IPI00111495.9	C-Myc-binding protein	exp089
NA	NA	NA	IPI00349401.5	Splicing factor 3b, subunit 2	exp089
Q3TWI9	Tmem63b	CSC1-like protein 2	IPI00381160.3	Transmembrane protein 63B	exp089
Q9ER00	Stx12	Syntaxin-12	IPI00111416.1	Syntaxin-12	exp089
NA	NA	NA	IPI00515199.1	Ewing sarcoma breakpoint region 1	exp089
Q3U9G9	Lbr	Lamin-B receptor	IPI00331173.8	Lamin-B receptor	exp089
Q9ERD7	Tubb3	Tubulin beta-3 chain	IPI00112251.1	Tubulin beta-3 chain	exp089
NA	NA	NA	IPI00929857.2	Golgi autoantigen, golgin subfamily b, macrogolgin 1	exp089
Q3UDW8	Hgsnat;D8Ertd354e;Tmem76	Heparan-alpha-glucosaminide N-acetyltransferase	IPI00317488.4	Heparan-alpha-glucosaminide N-acetyltransferase	exp089
Q9JHE6	Hes6	Transcription cofactor HES-6	IPI00119301.1	Transcription cofactor HES-6	exp089
NA	NA	NA	IPI00919176.1	9 kDa protein	exp089
Q3UEB3-3	Puf60	Isoform 3 of Poly(U)-binding-splicing factor PUF60	IPI00857642.1	Isoform 3 of Poly(U)-binding-splicing factor PUF60	exp089
Q9JHJ0	Tmod3	Tropomodulin-3	IPI00119478.1	Tropomodulin-3	exp089
NA	NA	NA	IPI00405977.6	Microtubule-actin crosslinking factor 1	exp089
Q3UFY0	Rrp36	Ribosomal RNA processing protein 36 homolog	IPI00128482.2	UPF0399 protein C6orf153 homolog	exp089
Q9JHS3	Lamtor2;Mapbpip;Robld3	Ragulator complex protein LAMTOR2	IPI00119807.1	Mitogen-activated protein-binding protein-interacting protein	exp089
NA	NA	NA	IPI00874955.1	204 kDa protein	exp089
Q3UHJ0-2	NA	Isoform 2 of AP2-associated protein kinase 1	IPI00356608.4	Isoform 2 of AP2-associated protein kinase 1	exp089
Q9JHU4	Dync1h1;Dhc1;Dnch1;Dnchc1;Dyhc	Cytoplasmic dynein 1 heavy chain 1	IPI00119876.1	Cytoplasmic dynein 1 heavy chain 1	exp089
NA	NA	NA	IPI00830623.1	53 kDa protein	exp089
Q3UHR0	Bahcc1;Kiaa1447	BAH and coiled-coil domain-containing protein 1	IPI00396779.5	BAH and coiled-coil domain-containing protein 1	exp089
Q9JIZ9	Plscr3	Phospholipid scramblase 3	IPI00310627.3	Phospholipid scramblase 3	exp089
NA	NA	NA	IPI00459008.1	Csnk1g1 protein	exp089
Q3UKC1	Tax1bp1	Tax1-binding protein 1 homolog	IPI00321802.5	Tax1-binding protein 1 homolog	exp089
Q9JKB3-2	Ybx3	Isoform 2 of Y-box-binding protein 3	IPI00274739.1	Isoform 2 of DNA-binding protein A	exp089
NA	NA	NA	IPI00929787.1	Glycoprotein, synaptic 2 isoform 2	exp089
Q3UMF0-3	Cobll1	Isoform 3 of Cordon-bleu protein-like 1	IPI00756391.3	Isoform 3 of Cordon-bleu protein-like 1	exp089
Q9JKF1	Iqgap1	Ras GTPase-activating-like protein IQGAP1	IPI00467447.3	Ras GTPase-activating-like protein IQGAP1	exp089
NA	NA	NA	IPI00339648.2	Similar to ribosomal protein L23a	exp089
Q3UMU9-2	Hdgfrp2	Isoform 2 of Hepatoma-derived growth factor-related protein 2	IPI00885518.1	Isoform 2 of Hepatoma-derived growth factor-related protein 2	exp089
Q9JKW0	Arl6ip1;Arl6ip	ADP-ribosylation factor-like protein 6-interacting protein 1	IPI00123519.6	ADP-ribosylation factor-like protein 6-interacting protein 1	exp089
NA	NA	NA	IPI00757748.1	20 kDa protein	exp089
Q3UV17	Krt76	Keratin, type II cytoskeletal 2 oral	IPI00346834.1	Keratin, type II cytoskeletal 2 oral	exp089
Q9JLJ5	Elovl1;Ssc1	Elongation of very long chain fatty acids protein 1	IPI00124382.1	Elongation of very long chain fatty acids protein 1	exp089
NA	NA	NA	IPI00886148.1	4 kDa protein	exp089
Q3V3I2	Gnat3	Guanine nucleotide-binding protein G	IPI00347770.3	Guanine nucleotide-binding protein G(t) subunit alpha-3	exp089
Q9JMH9-5	Myo18a	Isoform 5 of Unconventional myosin-XVIIIa	IPI00828766.1	Isoform 5 of Myosin-XVIIIa	exp089
NA	NA	NA	IPI00875326.1	33 kDa protein	exp089
Q4KWH5-2	Plch1	Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	IPI00338999.3	Isoform 2 of 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase eta-1	exp089
Q9QUI0	Rhoa;Arha;Arha2	Transforming protein RhoA	IPI00315100.1	Transforming protein RhoA	exp089
NA	NA	NA	IPI00352163.3	Putative uncharacterized protein	exp089
Q4QRL3-2	Ccdc88b	Isoform 2 of Coiled-coil domain-containing protein 88B	IPI00608004.6	Isoform 2 of Coiled-coil domain-containing protein 88B	exp089
Q9QX11-2	Cyth1	Isoform 2 of Cytohesin-1	IPI00752843.3	Isoform 2 of Cytohesin-1	exp089
NA	NA	NA	IPI00850216.1	Hypothetical protein isoform 2	exp089
Q52KG5	Kif26a;Kiaa1236	Kinesin-like protein KIF26A	IPI00420571.4	Kinesin-like protein KIF26A	exp089
Q9QXN3-2	Trip4	Isoform 2 of Activating signal cointegrator 1	IPI00454171.1	Isoform 2 of Activating signal cointegrator 1	exp089
NA	NA	NA	IPI00830441.1	Protein	exp089
Q52KI8-2	Srrm1	Isoform 2 of Serine/arginine repetitive matrix protein 1	IPI00118438.4	Isoform 2 of Serine/arginine repetitive matrix protein 1	exp089
Q9QXS1-15	Plec	Isoform PLEC-1H of Plectin	IPI00400209.1	Isoform PLEC-1H of Plectin-1	exp089
NA	NA	NA	IPI00658401.5	Similar to GCN1 general control of amino-acid synthesis 1-like 1	exp089
Q5F285	Tmem256	Transmembrane protein 256	IPI00112126.1	UPF0451 protein C17orf61 homolog	exp089
Q9QXS1-2	Plec	Isoform PLEC-1 of Plectin	IPI00421268.1	Isoform PLEC-1 of Plectin-1	exp089
NA	NA	NA	IPI00403867.1	Putative uncharacterized protein	exp089
Q5F2E8	Taok1;Kiaa1361	Serine/threonine-protein kinase TAO1	IPI00126860.2	Serine/threonine-protein kinase TAO1	exp089
Q9QXS6-3	Dbn1	Isoform E2 of Drebrin	IPI00331516.3	Isoform E2 of Drebrin	exp089
NA	NA	NA	IPI00875096.1	71 kDa protein	exp089
Q5PRF0-1	Heatr5a 	HEAT repeat-containing protein 5A	IPI00114424.8	Isoform 1 of HEAT repeat-containing protein 5A	exp089
Q9QXX4	Slc25a13;Aralar2	Calcium-binding mitochondrial carrier protein Aralar2	IPI00135651.1	Calcium-binding mitochondrial carrier protein Aralar2	exp089
NA	NA	NA	IPI00755909.1	Similar to solute carrier family 12, member 2	exp089
Q5RJG1	Nol10;Gm67	Nucleolar protein 10	IPI00119760.4	Nucleolar protein 10	exp089
Q9QZF2	Gpc1	Glypican-1	IPI00137336.1	Glypican-1	exp089
NA	NA	NA	IPI00677102.1	Hypothetical protein isoform 1	exp089
NA	NA	NA	IPI00111698.2	Sorting nexin family member 21	exp089
Q5SNZ0-3	Ccdc88a	Isoform 3 of Girdin	IPI00648605.2	Isoform 3 of Girdin	exp089
Q9QZI8	Serinc1;Aigp2;Tde1l;Tde2;Tms2	Serine incorporator 1	IPI00137465.1	Serine incorporator 1	exp089
NA	NA	NA	IPI00856199.1	5 kDa protein	exp089
NA	NA	NA	IPI00672505.1	Similar to Discs, large homolog 1 (Drosophila) isoform 4	exp089
Q5SSE9-1	Abca13 	ATP-binding cassette sub-family A member 13	IPI00265219.4	Isoform 1 of ATP-binding cassette sub-family A member 13	exp089
Q9R0A5	Nek3	Serine/threonine-protein kinase Nek3	IPI00127241.1	Serine/threonine-protein kinase Nek3	exp089
NA	NA	NA	IPI00857970.1	19 kDa protein	exp089
NA	NA	NA	IPI00648833.1	Novel protein	exp089
Q5SUF2-1	Luc7l3 	Luc7-like protein 3	IPI00649422.1	Isoform 1 of Luc7-like protein 3	exp089
Q9R0Y5-1	Ak1 	Adenylate kinase isoenzyme 1	IPI00128209.3	Isoform 1 of Adenylate kinase isoenzyme 1	exp089
NA	NA	NA	IPI00849761.1	Similar to neurofilament protein	exp089
NA	NA	NA	IPI00420814.3	Putative gag-pol protein	exp089
Q5SXY1-3	Specc1	Isoform 4 of Cytospin-B	IPI00381563.4	Isoform 4 of Cytospin-B	exp089
Q9R1Q6	Tmem176b;Clast1;Lr8	Transmembrane protein 176B	IPI00387361.1	Transmembrane protein 176B	exp089
NA	NA	NA	IPI00830223.1	Tropomyosin 1, alpha isoform 10	exp089
NA	NA	NA	IPI00666034.3	Apolipoprotein B precursor	exp089
Q5SYD0-1	Myo1d 	Unconventional myosin-Id	IPI00408207.2	Isoform 1 of Myosin-Id	exp089
Q9WTI7-2	Myo1c	Isoform 2 of Unconventional myosin-Ic	IPI00467172.2	Isoform 2 of Myosin-Ic	exp089
NA	NA	NA	IPI00226384.2	Retinoblastoma binding protein 5	exp089
A2A9T0-2	Tbkbp1	Isoform 2 of TANK-binding kinase 1-binding protein 1	IPI00877274.1	Isoform 2 of TANK-binding kinase 1-binding protein	exp089
Q5SYD0-2	Myo1d	Isoform 2 of Unconventional myosin-Id	IPI00226551.2	Isoform 2 of Myosin-Id	exp089
Q9WTI7-3	Myo1c	Isoform 3 of Unconventional myosin-Ic	IPI00754649.2	Isoform 3 of Myosin-Ic	exp089
NA	NA	NA	IPI00831431.1	28 kDa protein	exp089
A2APV2-2	Fmnl2	Isoform 2 of Formin-like protein 2	IPI00849114.1	Isoform 2 of Formin-like protein 2	exp089
Q60597-2	Ogdh	Isoform 2 of 2-oxoglutarate dehydrogenase, mitochondrial	IPI00719841.1	Isoform 2 of 2-oxoglutarate dehydrogenase E1 component, mitochondrial	exp089
Q9WTX5	Skp1;Skp1a	S-phase kinase-associated protein 1	IPI00331163.9	S-phase kinase-associated protein 1	exp089
NA	NA	NA	IPI00850843.2	Similar to KIAA2019 protein	exp089
A2ASS6-1	Ttn 	Titin	IPI00756257.1	Isoform 1 of Titin	exp089
Q60605-2	Myl6	Isoform Smooth muscle of Myosin light polypeptide 6	IPI00354819.5	Isoform Smooth muscle of Myosin light polypeptide 6	exp089
Q9WTX8-2	Mad1l1	Isoform 2 of Mitotic spindle assembly checkpoint protein MAD1	IPI00281031.1	Isoform 2 of Mitotic spindle assembly checkpoint protein MAD1	exp089
NA	NA	NA	IPI00918305.1	Protein	exp089
A6BLY7	Krt28;Krt25d	Keratin, type I cytoskeletal 28	IPI00658923.1	Keratin, type I cytoskeletal 28	exp089
Q60634-1	Flot2 	Flotillin-2	IPI00754549.2	Isoform 1 of Flotillin-2	exp089
Q9WUH1	Tmem115;Pl6	Transmembrane protein 115	IPI00124661.1	Transmembrane protein 115	exp089
NA	NA	NA	IPI00889859.1	Putative uncharacterized protein	exp089
A6X919-1	Dpy19l1 	Probable C-mannosyltransferase DPY19L1	IPI00857720.1	Isoform 1 of Protein dpy-19 homolog 1	exp089
Q60634-3	Flot2	Isoform 3 of Flotillin-2	IPI00943452.1	Isoform 3 of Flotillin-2	exp089
Q9WUM4	Coro1c	Coronin-1C	IPI00124820.2	Coronin-1C	exp089
NA	NA	NA	IPI00664248.3	Similar to 4930529M08Rik protein	exp089
O08532-2	Cacna2d1	Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1	IPI00230013.3	Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1	exp089
Q60668-3	Hnrnpd	Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0	IPI00336873.1	Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0	exp089
Q9WVA4	Tagln2;Kiaa0120	Transgelin-2	IPI00125778.4	Transgelin-2	exp089
